Complaint_Description,Priority
Public complaint about delay in animal control response at Poojappura Road,Low
Aggressive stray dogs spotted near Pattom Ward,Critical
Stray animals entering school premises at Attakulangara Market Area,High
Monkey nuisance reported near Sreekariyam Area residential area,High
Stray dog pack disturbing residents at Peroorkada Junction,High
Injured stray dog lying unattended at Kazhakkoottam Junction,Critical
Dead stray animal not removed from Manacaud Area area,Medium
Injured stray dog lying unattended at Vanchiyoor Ward,Critical
Stray dog pack disturbing residents at Kowdiar Junction,High
Monkey nuisance reported near Attakulangara Market Area residential area,High
Request for dog sterilization drive at Pattom Ward locality,Low
Frequent dog bites reported in Attakulangara Market Area area,Critical
Injured stray dog lying unattended at Kowdiar Junction,Critical
Injured stray dog lying unattended at Peroorkada Junction,Critical
Stray dog menace reported at Manacaud Area causing safety concerns,Medium
Dead stray animal not removed from Palayam Area area,Medium
Stray dog menace reported at Sreekariyam Area causing safety concerns,Medium
Stray dog pack disturbing residents at East Fort Junction,High
Aggressive stray dogs spotted near Vanchiyoor Ward,Critical
Injured stray dog lying unattended at Thampanoor Junction,Critical
Frequent dog bites reported in Kowdiar Junction area,Critical
Carcass of stray animal emitting foul smell at Attakulangara Market Area,Medium
Stray dog pack disturbing residents at Manacaud Area,High
Dead stray animal not removed from Peroorkada Junction area,Medium
Stray animals entering school premises at Peroorkada Junction,High
Public complaint about delay in animal control response at East Fort Junction,Low
Aggressive stray dogs spotted near Poojappura Road,Critical
Stray pigs roaming near market area at Nemom Ward,Medium
Stray dog pack disturbing residents at Attakulangara Market Area,High
Public complaint about delay in animal control response at Pattom Ward,Low
Monkey nuisance reported near Vanchiyoor Ward residential area,High
Stray dogs chasing pedestrians at Vanchiyoor Ward junction,Medium
Stray dog pack disturbing residents at Nemom Ward,High
Stray animals entering school premises at Kowdiar Junction,High
Request for dog sterilization drive at Manacaud Area locality,Low
Stray animals entering school premises at Attakulangara Market Area,High
Carcass of stray animal emitting foul smell at Manacaud Area,Medium
Stray dog menace reported at Sreekariyam Area causing safety concerns,Medium
Stray cattle blocking road at Vellayambalam Ward,Medium
Stray dog pack disturbing residents at Nemom Ward,High
Public complaint about delay in animal control response at Vellayambalam Ward,Low
Monkey nuisance reported near East Fort Junction residential area,High
Request for dog sterilization drive at Peroorkada Junction locality,Low
Stray dogs chasing pedestrians at Kowdiar Junction junction,Medium
Public complaint about delay in animal control response at Kazhakkoottam Junction,Low
Aggressive stray dogs spotted near Manacaud Area,Critical
Stray dog menace reported at Thampanoor Junction causing safety concerns,Medium
Carcass of stray animal emitting foul smell at East Fort Junction,Medium
Stray dogs chasing pedestrians at Nemom Ward junction,Medium
Stray cattle blocking road at Vanchiyoor Ward,Medium
Carcass of stray animal emitting foul smell at Vanchiyoor Ward,Medium
Stray animals entering school premises at Manacaud Area,High
Monkey nuisance reported near Palayam Area residential area,High
Stray pigs roaming near market area at Vanchiyoor Ward,Medium
Public complaint about delay in animal control response at Sreekariyam Area,Low
Stray dog menace reported at Sreekariyam Area causing safety concerns,Medium
Stray dogs chasing pedestrians at Vellayambalam Ward junction,Medium
Stray dog pack disturbing residents at Palayam Area,High
Public complaint about delay in animal control response at Nemom Ward,Low
Carcass of stray animal emitting foul smell at Vellayambalam Ward,Medium
Aggressive stray dogs spotted near Sreekariyam Area,Critical
Cattle roaming freely on road at Thampanoor Junction causing traffic issues,Medium
Request for dog sterilization drive at Pattom Ward locality,Low
Stray dog menace reported at Peroorkada Junction causing safety concerns,Medium
Aggressive stray dogs spotted near Attakulangara Market Area,Critical
Aggressive stray dogs spotted near Nemom Ward,Critical
Frequent dog bites reported in Attakulangara Market Area area,Critical
Cattle roaming freely on road at Manacaud Area causing traffic issues,Medium
Carcass of stray animal emitting foul smell at Attakulangara Market Area,Medium
Frequent dog bites reported in Manacaud Area area,Critical
Request for dog sterilization drive at Vanchiyoor Ward locality,Low
Public complaint about delay in animal control response at East Fort Junction,Low
Cattle roaming freely on road at Sreekariyam Area causing traffic issues,Medium
Stray dog menace reported at Poojappura Road causing safety concerns,Medium
Cattle roaming freely on road at Vellayambalam Ward causing traffic issues,Medium
Carcass of stray animal emitting foul smell at Manacaud Area,Medium
Stray dog menace reported at Nemom Ward causing safety concerns,Medium
Request for dog sterilization drive at Manacaud Area locality,Low
Aggressive stray dogs spotted near Sreekariyam Area,Critical
Carcass of stray animal emitting foul smell at Karamana Bridge Area,Medium
Frequent dog bites reported in Karamana Bridge Area area,Critical
Stray animals entering school premises at Attakulangara Market Area,High
Monkey nuisance reported near East Fort Junction residential area,High
Carcass of stray animal emitting foul smell at Pattom Ward,Medium
Cattle roaming freely on road at Nemom Ward causing traffic issues,Medium
Aggressive stray dogs spotted near Vellayambalam Ward,Critical
Aggressive stray dogs spotted near Poojappura Road,Critical
Stray dog pack disturbing residents at Peroorkada Junction,High
Stray animals entering school premises at Thampanoor Junction,High
Public complaint about delay in animal control response at Nemom Ward,Low
Stray animals entering school premises at Kowdiar Junction,High
Cattle roaming freely on road at Karamana Bridge Area causing traffic issues,Medium
Cattle roaming freely on road at Attakulangara Market Area causing traffic issues,Medium
Request for dog sterilization drive at Kazhakkoottam Junction locality,Low
Stray cattle blocking road at Kowdiar Junction,Medium
Stray dog pack disturbing residents at Vanchiyoor Ward,High
Stray dogs chasing pedestrians at Thampanoor Junction junction,Medium
Cattle roaming freely on road at Pattom Ward causing traffic issues,Medium
Public complaint about delay in animal control response at Thampanoor Junction,Low
Stray cattle blocking road at Manacaud Area,Medium
Request for dog sterilization drive at Poojappura Road locality,Low
Stray dog menace reported at Nemom Ward causing safety concerns,Medium
Monkey nuisance reported near Karamana Bridge Area residential area,High
Stray cattle blocking road at Sreekariyam Area,Medium
Request for dog sterilization drive at East Fort Junction locality,Low
Aggressive stray dogs spotted near Poojappura Road,Critical
Public complaint about delay in animal control response at Attakulangara Market Area,Low
Monkey nuisance reported near Vellayambalam Ward residential area,High
Frequent dog bites reported in East Fort Junction area,Critical
Stray cattle blocking road at Kowdiar Junction,Medium
Stray animals entering school premises at Kowdiar Junction,High
Stray animals entering school premises at Poojappura Road,High
Dead stray animal not removed from Vellayambalam Ward area,Medium
Aggressive stray dogs spotted near Pattom Ward,Critical
Stray dogs chasing pedestrians at Vanchiyoor Ward junction,Medium
Aggressive stray dogs spotted near Karamana Bridge Area,Critical
Request for dog sterilization drive at Kowdiar Junction locality,Low
Frequent dog bites reported in Attakulangara Market Area area,Critical
Stray pigs roaming near market area at Peroorkada Junction,Medium
Stray pigs roaming near market area at Thampanoor Junction,Medium
Request for dog sterilization drive at Thampanoor Junction locality,Low
Request for dog sterilization drive at Peroorkada Junction locality,Low
Stray cattle blocking road at Manacaud Area,Medium
Aggressive stray dogs spotted near Vanchiyoor Ward,Critical
Dead stray animal not removed from Nemom Ward area,Medium
Stray dog pack disturbing residents at Vanchiyoor Ward,High
Dead stray animal not removed from East Fort Junction area,Medium
Stray cattle blocking road at Peroorkada Junction,Medium
Public complaint about delay in animal control response at Kowdiar Junction,Low
Stray dogs chasing pedestrians at Poojappura Road junction,Medium
Frequent dog bites reported in Palayam Area area,Critical
Stray dog pack disturbing residents at Vellayambalam Ward,High
Stray dog pack disturbing residents at Poojappura Road,High
Public complaint about delay in animal control response at Kowdiar Junction,Low
Improper disposal of biomedical waste reported at Pattom Ward,High
Needle disposal violation reported near Peroorkada Junction,High
Contaminated waste water discharged at Manacaud Area,Medium
Improper disposal of biomedical waste reported at Peroorkada Junction,High
Toxic waste containers left unattended at Vellayambalam Ward,Critical
Hospital waste mixed with regular garbage at Peroorkada Junction,High
Sharp medical objects found in open area at Attakulangara Market Area,Critical
Improper storage of biomedical waste at Sreekariyam Area facility,High
Used syringes and medical waste found dumped at Thampanoor Junction,Critical
Laboratory waste dumped illegally at Palayam Area,Critical
Hazardous chemical waste leakage observed at Attakulangara Market Area,Critical
Toxic waste containers left unattended at Peroorkada Junction,Critical
Toxic waste containers left unattended at Attakulangara Market Area,Critical
Improper storage of biomedical waste at Kowdiar Junction facility,High
Needle disposal violation reported near Attakulangara Market Area,High
Blood-stained medical materials found in garbage at Manacaud Area,Critical
Hospital waste mixed with regular garbage at Attakulangara Market Area,High
Improper disposal of biomedical waste reported at Manacaud Area,High
Hospital waste mixed with regular garbage at Pattom Ward,High
Contaminated waste water discharged at Vanchiyoor Ward,Medium
Used syringes and medical waste found dumped at Attakulangara Market Area,Critical
Contaminated waste water discharged at Poojappura Road,Medium
Sharp medical objects found in open area at Kowdiar Junction,Critical
Laboratory waste dumped illegally at Palayam Area,Critical
Hazardous industrial waste reported at Poojappura Road,Critical
Blood-stained medical materials found in garbage at Kowdiar Junction,Critical
Biomedical waste burning noticed at Peroorkada Junction locality,Critical
Hospital waste mixed with regular garbage at Vanchiyoor Ward,High
Biomedical waste burning noticed at Peroorkada Junction locality,Critical
Toxic waste containers left unattended at Manacaud Area,Critical
Needle disposal violation reported near Karamana Area,High
Hospital waste mixed with regular garbage at Nemom Ward,High
Biomedical waste burning noticed at Peroorkada Junction locality,Critical
Improper storage of biomedical waste at Poojappura Road facility,High
Expired medicines disposed improperly at Vellayambalam Ward,High
Improper storage of biomedical waste at Karamana Area facility,High
Improper storage of biomedical waste at Kazhakkoottam Junction facility,High
Contaminated waste water discharged at Peroorkada Junction,Medium
Improper storage of biomedical waste at Karamana Area facility,High
Hazardous industrial waste reported at Kazhakkoottam Junction,Critical
Toxic waste containers left unattended at Kazhakkoottam Junction,Critical
Used syringes and medical waste found dumped at Attakulangara Market Area,Critical
Improper disposal of biomedical waste reported at Peroorkada Junction,High
Laboratory waste dumped illegally at Karamana Area,Critical
Improper disposal of biomedical waste reported at Vanchiyoor Ward,High
Biomedical waste burning noticed at Manacaud Area locality,Critical
Used syringes and medical waste found dumped at Kazhakkoottam Junction,Critical
Hospital waste mixed with regular garbage at Vanchiyoor Ward,High
Hospital waste mixed with regular garbage at Manacaud Area,High
Hazardous chemical waste leakage observed at Sreekariyam Area,Critical
Sharp medical objects found in open area at Peroorkada Junction,Critical
Contaminated waste water discharged at Kowdiar Junction,Medium
Sharp medical objects found in open area at Manacaud Area,Critical
Used syringes and medical waste found dumped at Vanchiyoor Ward,Critical
Improper disposal of biomedical waste reported at Manacaud Area,High
Biomedical waste burning noticed at Pattom Ward locality,Critical
Blood-stained medical materials found in garbage at Manacaud Area,Critical
Laboratory waste dumped illegally at Palayam Area,Critical
Expired medicines disposed improperly at Manacaud Area,High
Request for inspection of hazardous waste handling at Sreekariyam Area,Low
Expired medicines disposed improperly at East Fort Junction,High
Laboratory waste dumped illegally at Thampanoor Junction,Critical
Laboratory waste dumped illegally at Manacaud Area,Critical
Hazardous chemical waste leakage observed at Poojappura Road,Critical
Sharp medical objects found in open area at Vellayambalam Ward,Critical
Contaminated waste water discharged at Attakulangara Market Area,Medium
Hazardous industrial waste reported at Karamana Area,Critical
Laboratory waste dumped illegally at East Fort Junction,Critical
Hospital waste mixed with regular garbage at Attakulangara Market Area,High
Hospital waste mixed with regular garbage at Sreekariyam Area,High
Improper storage of biomedical waste at Palayam Area facility,High
Blood-stained medical materials found in garbage at Palayam Area,Critical
Sharp medical objects found in open area at Kowdiar Junction,Critical
Used syringes and medical waste found dumped at East Fort Junction,Critical
Used syringes and medical waste found dumped at Peroorkada Junction,Critical
Needle disposal violation reported near Poojappura Road,High
Hazardous industrial waste reported at Peroorkada Junction,Critical
Used syringes and medical waste found dumped at Nemom Ward,Critical
Blood-stained medical materials found in garbage at Thampanoor Junction,Critical
Improper storage of biomedical waste at Poojappura Road facility,High
Hazardous chemical waste leakage observed at Palayam Area,Critical
Needle disposal violation reported near Sreekariyam Area,High
Expired medicines disposed improperly at Palayam Area,High
Improper storage of biomedical waste at Vanchiyoor Ward facility,High
Hazardous chemical waste leakage observed at Pattom Ward,Critical
Needle disposal violation reported near Nemom Ward,High
Biomedical waste burning noticed at Pattom Ward locality,Critical
Blood-stained medical materials found in garbage at Nemom Ward,Critical
Biomedical waste burning noticed at Palayam Area locality,Critical
Improper disposal of biomedical waste reported at Poojappura Road,High
Contaminated waste water discharged at Kowdiar Junction,Medium
Laboratory waste dumped illegally at Poojappura Road,Critical
Sharp medical objects found in open area at Thampanoor Junction,Critical
Hazardous chemical waste leakage observed at Peroorkada Junction,Critical
Request for inspection of hazardous waste handling at Kowdiar Junction,Low
Improper storage of biomedical waste at Karamana Area facility,High
Toxic waste containers left unattended at Kowdiar Junction,Critical
Hospital waste mixed with regular garbage at Palayam Area,High
Contaminated waste water discharged at Peroorkada Junction,Medium
Hazardous industrial waste reported at Sreekariyam Area,Critical
Used syringes and medical waste found dumped at Kazhakkoottam Junction,Critical
Sharp medical objects found in open area at Karamana Area,Critical
Laboratory waste dumped illegally at Nemom Ward,Critical
Sharp medical objects found in open area at Kowdiar Junction,Critical
Expired medicines disposed improperly at Nemom Ward,High
Sharp medical objects found in open area at Manacaud Area,Critical
Blood-stained medical materials found in garbage at Attakulangara Market Area,Critical
Biomedical waste burning noticed at Kazhakkoottam Junction locality,Critical
Hazardous chemical waste leakage observed at Nemom Ward,Critical
Sharp medical objects found in open area at Poojappura Road,Critical
Toxic waste containers left unattended at Sreekariyam Area,Critical
Sharp medical objects found in open area at Vellayambalam Ward,Critical
Used syringes and medical waste found dumped at Poojappura Road,Critical
Needle disposal violation reported near Vanchiyoor Ward,High
Expired medicines disposed improperly at Vellayambalam Ward,High
Hospital waste mixed with regular garbage at Peroorkada Junction,High
Toxic waste containers left unattended at Attakulangara Market Area,Critical
Sharp medical objects found in open area at Sreekariyam Area,Critical
Biomedical waste burning noticed at Sreekariyam Area locality,Critical
Hazardous industrial waste reported at Thampanoor Junction,Critical
Hazardous chemical waste leakage observed at Pattom Ward,Critical
Hazardous industrial waste reported at Manacaud Area,Critical
Contaminated waste water discharged at Karamana Area,Medium
Sharp medical objects found in open area at Karamana Area,Critical
Needle disposal violation reported near Vanchiyoor Ward,High
Hazardous chemical waste leakage observed at Kazhakkoottam Junction,Critical
Request for inspection of hazardous waste handling at Vellayambalam Ward,Low
Improper storage of biomedical waste at Poojappura Road facility,High
Request for inspection of hazardous waste handling at Poojappura Road,Low
Request for inspection of hazardous waste handling at Kazhakkoottam Junction,Low
Toxic waste containers left unattended at Sreekariyam Area,Critical
Toxic waste containers left unattended at Manacaud Area,Critical
Sharp medical objects found in open area at Manacaud Area,Critical
Improper storage of biomedical waste at Pattom Ward facility,High
Needle disposal violation reported near Poojappura Road,High
Request for inspection of hazardous waste handling at Vellayambalam Ward,Low
Hazardous chemical waste leakage observed at Attakulangara Market Area,Critical
Improper storage of biomedical waste at Sreekariyam Area facility,High
Expired medicines disposed improperly at Palayam Area,High
Toxic waste containers left unattended at Sreekariyam Area,Critical
Expired medicines disposed improperly at Peroorkada Junction,High
Sharp medical objects found in open area at Thampanoor Junction,Critical
Expired medicines disposed improperly at Vanchiyoor Ward,High
Used syringes and medical waste found dumped at Vellayambalam Ward,Critical
Toxic waste containers left unattended at Attakulangara Market Area,Critical
Needle disposal violation reported near Vanchiyoor Ward,High
Contaminated waste water discharged at Poojappura Road,Medium
Toxic waste containers left unattended at Pattom Ward,Critical
Blood-stained medical materials found in garbage at Attakulangara Market Area,Critical
Used syringes and medical waste found dumped at Vellayambalam Ward,Critical
Expired medicines disposed improperly at Manacaud Area,High
Sharp medical objects found in open area at Nemom Ward,Critical
Improper storage of biomedical waste at Nemom Ward facility,High
Hospital waste mixed with regular garbage at Thampanoor Junction,High
Hazardous industrial waste reported at Kowdiar Junction,Critical
Biomedical waste burning noticed at Nemom Ward locality,Critical
Toxic waste containers left unattended at Palayam Area,Critical
Toxic waste containers left unattended at Thampanoor Junction,Critical
Toxic waste containers left unattended at Poojappura Road,Critical
Hospital waste mixed with regular garbage at Vellayambalam Ward,High
Hazardous industrial waste reported at Thampanoor Junction,Critical
Toxic waste containers left unattended at Pattom Ward,Critical
Needle disposal violation reported near Kazhakkoottam Junction,High
Request for inspection of hazardous waste handling at Attakulangara Market Area,Low
Hazardous chemical waste leakage observed at Kowdiar Junction,Critical
Hazardous chemical waste leakage observed at Karamana Area,Critical
Request for inspection of hazardous waste handling at Vellayambalam Ward,Low
Contaminated waste water discharged at Manacaud Area,Medium
Hazardous industrial waste reported at Nemom Ward,Critical
Hazardous industrial waste reported at Attakulangara Market Area,Critical
Sharp medical objects found in open area at East Fort Junction,Critical
Hazardous industrial waste reported at East Fort Junction,Critical
Sharp medical objects found in open area at Sreekariyam Area,Critical
Laboratory waste dumped illegally at East Fort Junction,Critical
Improper storage of biomedical waste at Peroorkada Junction facility,High
Biomedical waste burning noticed at Poojappura Road locality,Critical
Laboratory waste dumped illegally at Palayam Area,Critical
Hospital waste mixed with regular garbage at Karamana Area,High
Request for inspection of hazardous waste handling at Sreekariyam Area,Low
Request for inspection of hazardous waste handling at Manacaud Area,Low
Needle disposal violation reported near Pattom Ward,High
Biomedical waste burning noticed at Vanchiyoor Ward locality,Critical
Needle disposal violation reported near Vellayambalam Ward,High
Toxic waste containers left unattended at Pattom Ward,Critical
Sharp medical objects found in open area at Poojappura Road,Critical
Hazardous chemical waste leakage observed at Sreekariyam Area,Critical
Needle disposal violation reported near East Fort Junction,High
Biomedical waste burning noticed at Thampanoor Junction locality,Critical
Laboratory waste dumped illegally at Vanchiyoor Ward,Critical
Hospital waste mixed with regular garbage at Peroorkada Junction,High
Expired medicines disposed improperly at Attakulangara Market Area,High
Hazardous chemical waste leakage observed at Thampanoor Junction,Critical
Hazardous industrial waste reported at Vanchiyoor Ward,Critical
Improper disposal of biomedical waste reported at Kowdiar Junction,High
Sharp medical objects found in open area at Vanchiyoor Ward,Critical
Biomedical waste burning noticed at Kazhakkoottam Junction locality,Critical
Blood-stained medical materials found in garbage at Sreekariyam Area,Critical
Contaminated waste water discharged at Kowdiar Junction,Medium
Biomedical waste burning noticed at Attakulangara Market Area locality,Critical
Toxic waste containers left unattended at Pattom Ward,Critical
Improper disposal of biomedical waste reported at Nemom Ward,High
Blood-stained medical materials found in garbage at Pattom Ward,Critical
Biomedical waste burning noticed at Kowdiar Junction locality,Critical
Sharp medical objects found in open area at Pattom Ward,Critical
Hazardous chemical waste leakage observed at Nemom Ward,Critical
Hazardous industrial waste reported at Thampanoor Junction,Critical
Laboratory waste dumped illegally at Pattom Ward,Critical
Sharp medical objects found in open area at Sreekariyam Area,Critical
Hazardous industrial waste reported at Manacaud Area,Critical
Hazardous chemical waste leakage observed at East Fort Junction,Critical
Expired medicines disposed improperly at Manacaud Area,High
Improper storage of biomedical waste at Kowdiar Junction facility,High
Hospital waste mixed with regular garbage at Thampanoor Junction,High
Hazardous industrial waste reported at Kazhakkoottam Junction,Critical
Needle disposal violation reported near Sreekariyam Area,High
Biomedical waste burning noticed at Vanchiyoor Ward locality,Critical
Hazardous industrial waste reported at Poojappura Road,Critical
Laboratory waste dumped illegally at East Fort Junction,Critical
Hospital waste mixed with regular garbage at Attakulangara Market Area,High
Contaminated waste water discharged at Poojappura Road,Medium
Contaminated waste water discharged at East Fort Junction,Medium
Request for inspection of hazardous waste handling at East Fort Junction,Low
Sharp medical objects found in open area at Thampanoor Junction,Critical
Toxic waste containers left unattended at Kowdiar Junction,Critical
Needle disposal violation reported near Manacaud Area,High
Laboratory waste dumped illegally at Manacaud Area,Critical
Needle disposal violation reported near Poojappura Road,High
Hazardous chemical waste leakage observed at Attakulangara Market Area,Critical
Contaminated waste water discharged at Manacaud Area,Medium
Expired medicines disposed improperly at Poojappura Road,High
Hospital waste mixed with regular garbage at Vellayambalam Ward,High
Contaminated waste water discharged at East Fort Junction,Medium
Contaminated waste water discharged at Poojappura Road,Medium
Toxic waste containers left unattended at Karamana Area,Critical
Hospital waste mixed with regular garbage at Kazhakkoottam Junction,High
Improper storage of biomedical waste at Pattom Ward facility,High
Biomedical waste burning noticed at Kazhakkoottam Junction locality,Critical
Laboratory waste dumped illegally at Vellayambalam Ward,Critical
Improper storage of biomedical waste at Sreekariyam Area facility,High
Hazardous industrial waste reported at Pattom Ward,Critical
Laboratory waste dumped illegally at Kazhakkoottam Junction,Critical
Contaminated waste water discharged at Thampanoor Junction,Medium
Toxic waste containers left unattended at Kowdiar Junction,Critical
Improper storage of biomedical waste at Kowdiar Junction facility,High
Improper disposal of biomedical waste reported at Kowdiar Junction,High
Hazardous industrial waste reported at Peroorkada Junction,Critical
Request for inspection of hazardous waste handling at Kowdiar Junction,Low
Contaminated waste water discharged at Peroorkada Junction,Medium
Hospital waste mixed with regular garbage at Vellayambalam Ward,High
Needle disposal violation reported near Kazhakkoottam Junction,High
Hospital waste mixed with regular garbage at Attakulangara Market Area,High
Hospital waste mixed with regular garbage at Pattom Ward,High
Request for inspection of hazardous waste handling at East Fort Junction,Low
Hazardous industrial waste reported at Peroorkada Junction,Critical
Improper storage of biomedical waste at Vellayambalam Ward facility,High
Needle disposal violation reported near Nemom Ward,High
Hazardous industrial waste reported at Pattom Ward,Critical
Biomedical waste burning noticed at Vanchiyoor Ward locality,Critical
Blood-stained medical materials found in garbage at Kazhakkoottam Junction,Critical
Expired medicines disposed improperly at Vellayambalam Ward,High
Biomedical waste burning noticed at Thampanoor Junction locality,Critical
Used syringes and medical waste found dumped at Manacaud Area,Critical
Needle disposal violation reported near Nemom Ward,High
Blood-stained medical materials found in garbage at East Fort Junction,Critical
Biomedical waste burning noticed at Karamana Area locality,Critical
Blood-stained medical materials found in garbage at Vellayambalam Ward,Critical
Blood-stained medical materials found in garbage at Kowdiar Junction,Critical
Laboratory waste dumped illegally at Pattom Ward,Critical
Request for inspection of hazardous waste handling at Kazhakkoottam Junction,Low
Blood-stained medical materials found in garbage at Vellayambalam Ward,Critical
Needle disposal violation reported near Thampanoor Junction,High
Hazardous chemical waste leakage observed at Palayam Area,Critical
Hazardous chemical waste leakage observed at Palayam Area,Critical
Blood-stained medical materials found in garbage at Vellayambalam Ward,Critical
Needle disposal violation reported near Karamana Area,High
Blood-stained medical materials found in garbage at Peroorkada Junction,Critical
Used syringes and medical waste found dumped at Sreekariyam Area,Critical
Contaminated waste water discharged at Kowdiar Junction,Medium
Improper disposal of biomedical waste reported at Peroorkada Junction,High
Request for inspection of hazardous waste handling at Pattom Ward,Low
Request for inspection of hazardous waste handling at East Fort Junction,Low
Blood-stained medical materials found in garbage at Kazhakkoottam Junction,Critical
Hazardous industrial waste reported at Karamana Area,Critical
Hospital waste mixed with regular garbage at Palayam Area,High
Laboratory waste dumped illegally at Nemom Ward,Critical
Needle disposal violation reported near Vanchiyoor Ward,High
Blood-stained medical materials found in garbage at Sreekariyam Area,Critical
Contaminated waste water discharged at Poojappura Road,Medium
Used syringes and medical waste found dumped at Kowdiar Junction,Critical
Hospital waste mixed with regular garbage at Pattom Ward,High
Needle disposal violation reported near Vanchiyoor Ward,High
Improper disposal of biomedical waste reported at Karamana Area,High
Needle disposal violation reported near East Fort Junction,High
Biomedical waste burning noticed at Palayam Area locality,Critical
Expired medicines disposed improperly at Vellayambalam Ward,High
Improper disposal of biomedical waste reported at Vanchiyoor Ward,High
Contaminated waste water discharged at Nemom Ward,Medium
Biomedical waste burning noticed at Palayam Area locality,Critical
Needle disposal violation reported near Peroorkada Junction,High
Improper storage of biomedical waste at Karamana Area facility,High
Sharp medical objects found in open area at Kowdiar Junction,Critical
Blood-stained medical materials found in garbage at Kowdiar Junction,Critical
Contaminated waste water discharged at Peroorkada Junction,Medium
Laboratory waste dumped illegally at Kazhakkoottam Junction,Critical
Improper disposal of biomedical waste reported at Attakulangara Market Area,High
Needle disposal violation reported near Manacaud Area,High
Hazardous industrial waste reported at Pattom Ward,Critical
Blood-stained medical materials found in garbage at Nemom Ward,Critical
Request for inspection of hazardous waste handling at Peroorkada Junction,Low
Toxic waste containers left unattended at Poojappura Road,Critical
Hospital waste mixed with regular garbage at Pattom Ward,High
Sharp medical objects found in open area at Pattom Ward,Critical
Hospital waste mixed with regular garbage at Sreekariyam Area,High
Toxic waste containers left unattended at Sreekariyam Area,Critical
Hazardous industrial waste reported at Kazhakkoottam Junction,Critical
Toxic waste containers left unattended at Attakulangara Market Area,Critical
Sharp medical objects found in open area at Vellayambalam Ward,Critical
Hospital waste mixed with regular garbage at Nemom Ward,High
Hospital waste mixed with regular garbage at Peroorkada Junction,High
Toxic waste containers left unattended at Vellayambalam Ward,Critical
Contaminated waste water discharged at Poojappura Road,Medium
Biomedical waste burning noticed at Karamana Area locality,Critical
Laboratory waste dumped illegally at Thampanoor Junction,Critical
Contaminated waste water discharged at Vanchiyoor Ward,Medium
Biomedical waste burning noticed at Thampanoor Junction locality,Critical
Hazardous industrial waste reported at Attakulangara Market Area,Critical
Improper storage of biomedical waste at Attakulangara Market Area facility,High
Toxic waste containers left unattended at Karamana Area,Critical
Hazardous industrial waste reported at East Fort Junction,Critical
Improper disposal of biomedical waste reported at Sreekariyam Area,High
Biomedical waste burning noticed at Vellayambalam Ward locality,Critical
Expired medicines disposed improperly at Poojappura Road,High
Hospital waste mixed with regular garbage at Vellayambalam Ward,High
Laboratory waste dumped illegally at Poojappura Road,Critical
Expired medicines disposed improperly at Kowdiar Junction,High
Sharp medical objects found in open area at Vanchiyoor Ward,Critical
Expired medicines disposed improperly at Palayam Area,High
Blood-stained medical materials found in garbage at Vanchiyoor Ward,Critical
Sharp medical objects found in open area at Sreekariyam Area,Critical
Improper disposal of biomedical waste reported at Poojappura Road,High
Improper storage of biomedical waste at East Fort Junction facility,High
Improper disposal of biomedical waste reported at Kowdiar Junction,High
Improper storage of biomedical waste at Kowdiar Junction facility,High
Improper disposal of biomedical waste reported at Nemom Ward,High
Hazardous chemical waste leakage observed at Manacaud Area,Critical
Toxic waste containers left unattended at East Fort Junction,Critical
Sharp medical objects found in open area at Kowdiar Junction,Critical
Contaminated waste water discharged at Manacaud Area,Medium
Sharp medical objects found in open area at Karamana Area,Critical
Laboratory waste dumped illegally at Pattom Ward,Critical
Blood-stained medical materials found in garbage at Manacaud Area,Critical
Laboratory waste dumped illegally at Palayam Area,Critical
Toxic waste containers left unattended at Karamana Area,Critical
Hospital waste mixed with regular garbage at Nemom Ward,High
Used syringes and medical waste found dumped at Attakulangara Market Area,Critical
Improper storage of biomedical waste at Manacaud Area facility,High
Used syringes and medical waste found dumped at Thampanoor Junction,Critical
Expired medicines disposed improperly at Poojappura Road,High
Toxic waste containers left unattended at Karamana Area,Critical
Request for inspection of hazardous waste handling at Poojappura Road,Low
Improper disposal of biomedical waste reported at Palayam Area,High
Improper storage of biomedical waste at Pattom Ward facility,High
Sharp medical objects found in open area at Manacaud Area,Critical
Laboratory waste dumped illegally at Vellayambalam Ward,Critical
Request for inspection of hazardous waste handling at East Fort Junction,Low
Contaminated waste water discharged at Palayam Area,Medium
Toxic waste containers left unattended at Karamana Area,Critical
Biomedical waste burning noticed at Thampanoor Junction locality,Critical
Laboratory waste dumped illegally at Palayam Area,Critical
Laboratory waste dumped illegally at Pattom Ward,Critical
Hazardous industrial waste reported at Peroorkada Junction,Critical
Contaminated waste water discharged at Poojappura Road,Medium
Needle disposal violation reported near Vellayambalam Ward,High
Improper storage of biomedical waste at Attakulangara Market Area facility,High
Biomedical waste burning noticed at Thampanoor Junction locality,Critical
Request for inspection of hazardous waste handling at Vanchiyoor Ward,Low
Laboratory waste dumped illegally at Palayam Area,Critical
Contaminated waste water discharged at Kowdiar Junction,Medium
Contaminated waste water discharged at Peroorkada Junction,Medium
Toxic waste containers left unattended at Peroorkada Junction,Critical
Request for inspection of hazardous waste handling at Manacaud Area,Low
Toxic waste containers left unattended at Attakulangara Market Area,Critical
Contaminated waste water discharged at Vellayambalam Ward,Medium
Improper disposal of biomedical waste reported at Palayam Area,High
Needle disposal violation reported near Kazhakkoottam Junction,High
Blood-stained medical materials found in garbage at Karamana Area,Critical
